,id,Amazon Standard Identification Number,reviews_numHelpful,reviews_rating,reviews,reviews_summary,reviews_username,length_of_reviews,feedback
109,AVPFPZCI1CNLUZ0-OXER,B00DOPNLJ0,59.0,3.0,"cons:1. built android mean google play apps. unfortunate inconvenience, google apps better amazon app counterparts, find within amazon apps. want fully functional tablet, buy tablet download free kindle app. want pay something less, kindle you. gift, keep it, continue use phone rest apps available kindle.2. camera le perfect. limited setting available. again, use phone pics, scene phone showed flames, small amount glare. (husband firefighter, take lot picture exercise training.) old casio exilim c721 phone 5mp camera still take better picture night.3. kindle unlimited... find anything worthy paying subscription price every month for. author want read included.4. amazon prime... see 3, doubled price, see anything worthy cost, including amazon instant video, show watch included. another family member 30 day trial, quite disappointed content disappeared trial.5. youtube video work ok, sometimes choppy, could connection device (computer playback worked fine time test simutaneously). online video various source would play silk browser, refer 1 chrome browser available download.6. office suite... figure unlock documents. view them, edit them.somewhere middle:1.read",Not everything I expected...,Tina L. Harmon,1177,0
149,AV00L7JV-JTXR-F30LNX,B01LW1MS9C,126.0,5.0,"i'm huge fan echo family. two echo's, three dot one tap. essential life love playing music, listening news controlling philip hue smart light throughout home. large investment population make - said huge fan way hockey puck dot look like. glossy plastic look little cheap although effect performance them. dot cover great option look fantastic.some reviewer say look cheap fit loose - i'm sure people moving dots. since dot made stationary, loose fitting cover issue. me, fit perfectly. also made real fabric, important part look like fabric picture. fabric better option considering plastic much durable material hold color better dot happens get sunlight.i bought three cover - blue, grey white. look good grey favorite attract attention need to. said, like three colors.edit 07/11/2017 - cover hold well time. mine collected dust faded. i've kept half year single issue (not i'd expect besides possible fading).",Great upgrade for aesthetics,D. Miyao,914,1
150,AV00L7JV-JTXR-F30LNX,B01LW1MS9C,303.0,5.0,"thoroughly impressed echo dot case take next level appearing much higher end product vs. nerdy plastic computer sitting kitchen countertop. construction solid slightly lifted still allow audio access bottom echo. case/cover give echo needed extra touch allowing blend in, still offer great functionality alexa.",The Extra Touch,dm,310,1
151,AV00L7JV-JTXR-F30LNX,B01LW1MS9C,138.0,4.0,"love everything case except fit echo dot. expecting snug fit however, lose make sure pick move (and power cable disconnected), dot fall case.",Great case with minor design flaws,Corey Clarke,141,1
152,AV00L7JV-JTXR-F30LNX,B01LW1MS9C,207.0,5.0,"major fan, buy protection, bought cause blend decor. skin, skin tight. yes loose often grab move it. maybe every year.","Major fan, didn't buy this because of protection, ...",A.C,118,1
153,AV00L7JV-JTXR-F30LNX,B01LW1MS9C,245.0,3.0,like previous reviewer mentioned fabric hard plastic snug tight fit. good quality though.,Not all fabric or cloth.,Vincent Pompei,89,0
154,AV00L7JV-JTXR-F30LNX,B01LW1MS9C,43.0,5.0,"echo dot gmc sierra denali. first support. sat hole protection. shifting, jiggling knowing happen. something do. looked search found fabric case alexa. it! support happy wear. accidental popping out, shifting readjusting, finally safe.",She loves it,Bob,235,1
155,AV00L7JV-JTXR-F30LNX,B01LW1MS9C,14.0,5.0,change whole look echo ... purchased think gone tan leather. blue favorite color add bit pop mundane looking black disk! texture also really nice feel look it!,Great pop of color for a bland looking product!,JB 85,159,1
156,AV00L7JV-JTXR-F30LNX,B01LW1MS9C,5.0,5.0,great looking cover echo dot. give dot softer elegant look. feel little pricy get regret decision buy case.,Great look for Dot.,C. Morrow,107,1
157,AV00L7JV-JTXR-F30LNX,B01LW1MS9C,30.0,5.0,perfect. lot people commenting case fall portable. that's intended use case. strictly decorative use. look great come several color options. would definitely purchase again.,This is perfect. A lot of people were commenting that the ...,Ryan,173,1
158,AV00L7JV-JTXR-F30LNX,B01LW1MS9C,68.0,5.0,"i'm huge fan echo family. two echo's, three dot one tap. essential life love playing music, listening news controlling philip hue smart light throughout home. large investment population make - said huge fan way hockey puck dot look like. glossy plastic look little cheap although effect performance them. dot cover great option look fantastic.some reviewer say look cheap fit loose - i'm sure people moving dots. since dot made stationary, loose fitting cover issue. me, fit perfectly. also made real fabric, important part look like fabric picture. fabric better option considering plastic much durable material hold color better dot happens get sunlight.i bought three cover - blue, grey white. look good grey favorite attract attention need to. said, like three colors.",Great upgrade for aesthetics,D. Miyao,773,1
159,AV1T09XZ-JTXR-F31COT,B01FWSVGQQ,123.0,4.0,"updating review two month ago.. initial review sling cover based first impression receiving it. today using tap sling daily last two month felt like needed modify review. originally recommend product, living it, growing like it, changing recommendation.the truth is, base top feel protected appearance would believe. dropped couple time protected sling. think rubber absorbs force fall. also, sat puddle bottom protected rubber sling.i initially upset sling preventing charging charging dock, big problem thought would be. pull bottom sling charge (leaving top sling on). easy easy back after.my real lingering complaint would price. 20 essentially thin piece rubber wrapping top bottom still seems little excessive. increasing star one. really price thing keeping 5 star me. come really like sling. also bought cheap pouch throw transporting it. eased concern keeping clean/safe throwing work bag.my original below. overall, would (and have) recommended sling protect tap.received tap sling cover last 24 hours.read",Updated review (after 2 months)...,Jbird,1016,1
160,AV1T09XZ-JTXR-F31COT,B01FWSVGQQ,122.0,5.0,"sling simply awesome amazon tap!! tap arrived morning along sling currently testing product speak!! sling allowed easy access carry tap work today!!one nice thing like tap sling required nice addition.. provides great protection tap, needed for.. tap going like mini, portable sonos me.. going speaker take daily!! wanted sling protect speaker keep getting dinged up.. even though provides minimal coverage speaker, still protects dings! minimal coverage needed hurt sound quality coming speaker... taking speaker beach, camping, hiking, parties, wanted something protect use!! sling going that!!another thing allows hang bag!! first, afraid silicone strong enough would stretch.. well far, issues!! use carabiner attach bag!! stretching super easy carry tap me!pros1.) access button sling2.) charge sling (via usb port dock)3.) allows personalization tap4.) protects tap ding since tap home use, great5.) love bright vibrant colors6.) silicone plenty strong enough hanging7.) adversely affect sound qualityoverall: feel 20 sling little high protection provides brand new tap, happy it.. buy tap sit still home..read",Provides Excellent protection for my new tap that is out and about with me as we speak!!!,Devin Stephens,1116,1
161,AV1T09XZ-JTXR-F31COT,B01FWSVGQQ,36.0,5.0,"ok first thing first, also echo echo love tap.now see lot review around internet people saying wish tap voice enabled like echo. happen think people completely thinking thing through. echo meant mobile device. generally sits somewhere house voice command great feature have. tap meant mobile, therefore happy voice command device. would want beach subway coffee shop thing think world taking it. actually think voice command well thought feature. echo kitchen counter tap studio office. leave office grab go.i bought sale 89 went store listened many bluetooth speakers. yes charge 3 sound better, charge 3 bluetooth speaker. tap much le . tap sound great. looking online little nervous would sound great, 100 wrong that. product 89 sound good tap does.i paid given tap write review. i'm consumer market bluetooth speaker, could happier choice.also buy device buy amazon sling well. trust want it. honestly happy got one cover bottom tap. sitting table someone knocked drink would want bottom charging ring exposed.that's it, that's all. buy it, disappointed!!!!!",I also own a Echo and if you own a Echo you will love the Tap,CHRISTOPHER JONES,1062,1
162,AV3AS-VX-JTXR-F3PPU,B01LW1MS9C,126.0,5.0,"i'm huge fan echo family. two echo's, three dot one tap. essential life love playing music, listening news controlling philip hue smart light throughout home. large investment population make - said huge fan way hockey puck dot look like. glossy plastic look little cheap although effect performance them. dot cover great option look fantastic.some reviewer say look cheap fit loose - i'm sure people moving dots. since dot made stationary, loose fitting cover issue. me, fit perfectly. also made real fabric, important part look like fabric picture. fabric better option considering plastic much durable material hold color better dot happens get sunlight.i bought three cover - blue, grey white. look good grey favorite attract attention need to. said, like three colors.edit 07/11/2017 - cover hold well time. mine collected dust faded. i've kept half year single issue (not i'd expect besides possible fading).",Great upgrade for aesthetics,D. Miyao,914,1
163,AV3AS-VX-JTXR-F3PPU,B01LW1MS9C,303.0,5.0,"thoroughly impressed echo dot case take next level appearing much higher end product vs. nerdy plastic computer sitting kitchen countertop. construction solid slightly lifted still allow audio access bottom echo. case/cover give echo needed extra touch allowing blend in, still offer great functionality alexa.",The Extra Touch,dm,310,1
164,AV3AS-VX-JTXR-F3PPU,B01LW1MS9C,138.0,4.0,"love everything case except fit echo dot. expecting snug fit however, lose make sure pick move (and power cable disconnected), dot fall case.",Great case with minor design flaws,Corey Clarke,141,1
165,AV3AS-VX-JTXR-F3PPU,B01LW1MS9C,207.0,5.0,"major fan, buy protection, bought cause blend decor. skin, skin tight. yes loose often grab move it. maybe every year.","Major fan, didn't buy this because of protection, ...",A.C,118,1
166,AV3AS-VX-JTXR-F3PPU,B01LW1MS9C,245.0,3.0,like previous reviewer mentioned fabric hard plastic snug tight fit. good quality though.,Not all fabric or cloth.,Vincent Pompei,89,0
167,AV3AS-VX-JTXR-F3PPU,B01LW1MS9C,43.0,5.0,"echo dot gmc sierra denali. first support. sat hole protection. shifting, jiggling knowing happen. something do. looked search found fabric case alexa. it! support happy wear. accidental popping out, shifting readjusting, finally safe.",She loves it,Bob,235,1
168,AV3AS-VX-JTXR-F3PPU,B01LW1MS9C,14.0,5.0,change whole look echo ... purchased think gone tan leather. blue favorite color add bit pop mundane looking black disk! texture also really nice feel look it!,Great pop of color for a bland looking product!,JB 85,159,1
169,AV3AS-VX-JTXR-F3PPU,B01LW1MS9C,5.0,5.0,great looking cover echo dot. give dot softer elegant look. feel little pricy get regret decision buy case.,Great look for Dot.,C. Morrow,107,1
170,AV00LZD5GV-KLJ3AC0UL,B00NO8LX7E,694.0,2.0,"great controller fire tv, purchased 2 them, two problem let first talk good. controller work well game play fire tv. long range compared controller ive tried (solid 30 feet) us wifi direct instead bluetooth. feel decent (not rubbery) none buttons, d-pad, stick stuck given u problem. microphone work good better one fire tv remote.now problems. issue im putting con section going tell bit it. worst problem battery life! fact, huge problem im taking 2 star it. controller eats battery like nobody business. tried regular aa battery (both duracell energizer), expensive aa battery (both duracell energizer), rechargeable aa battery (ive tried energizer, apple, amazonbasics). controller doesnt drain battery completely, nope. would understand. instead, controller stop working 40 drain. kid not. every set battery put thing stopped working still 60 battery life left. tested set, after, using generic battery tester well ohm meter.the second problem may controller itself, may fire tv, affecting controller. controller randomly disconnects. often enough huge issue enough annoying. seen report others problem controller remote. im hoping issue fixed firmware update.read",Great controller with 2 major problems! Not recommended at this point in time...,Randall M.,1169,0
171,AV00LZD5GV-KLJ3AC0UL,B00NO8LX7E,38.0,3.0,"without / button, found controller come (the light come showing connected firetv) even use. assuming battery draining quick. now, put remote 2nd room using battery last normal lifespan. light never turn know remote room.",Save your batteries by keeping remote in another room when not in use,Dean S,220,0
172,AV00LZD5GV-KLJ3AC0UL,B00NO8LX7E,15.0,5.0,"amazon need another 5 star review remote, damn. great remote. never game console house. 4 year old blast playing crossy road shark evolution big screen tv remote. super great. glad bought it.",Makes games fun.,Erika S.,191,1
173,AV00LZD5GV-KLJ3AC0UL,B00NO8LX7E,22.0,5.0,huge fan amazon fire stick son realllly want play game remote. little pricey opinion. work great though know return breaks!,Works great though and I know I can return if it ...,Ashley,123,1
174,AV00LZD5GV-KLJ3AC0UL,B00NO8LX7E,5.0,5.0,"ok i've technology field close 20 year gamer since 80's know little something controllers. really awesome controller great feel it. doesnt feel cheap way, work perfect. also voice search button work great volume control via shoulder button headphone plugged in. ive read review bad battery life havent found issue mine. bought late december battery due changed late april. would like see rechargable battery built instead maybe future.",Great Controller,Linda Watson,435,1
175,AV00LZD5GV-KLJ3AC0UL,B00NO8LX7E,2.0,4.0,"original nvidia shield tv (not latest 2017 version) such, also older/bulkier controller came with. work alright, never happy large clunky (i smaller hands) never got comfortable it. so, went searching replacement controller use it...along came 2017 shield tv newly revamped controller. look nice, got good reviews, time, almost impossible find one new used 50 bit wanted pay controller.i found amazon fire tv controller searching around wondered would work shield. turn aft controller bluetooth, rather, wi-fi direct. little research random search led believe could indeed use controller shield tv.since bluetooth, trying pair controller shield (or bluetooth device) impossible. but, suggestion someone nvidia forum, go shield's setting go add shield accessory setting, holding home button aft controller, moments, indeed, connect work. show shield accessory (since technically, not) kinda weird way. nowhere see shield's setting option controller even connected.after connecting pairing aft controller shield noticed lost sound audio. aft controller microphone works, basically caused lose sound shield. needle say bummed out.read",Does indeed work with Shield TV :-),olivarulez,1131,1
176,AV00LZD5GV-KLJ3AC0UL,B00NO8LX7E,4.0,5.0,second one great! used remote also. easy pair fire tv. received first one purchased gaming edition fire tv liked much bought second one son. gamer happy it.i would recommend product anyone gamer. many game available fire tv play flawlessly fire tv,Great Game Controller for Fire TV,Theresa,247,1
177,AV1T1NWRGLJLPUI8H8YZ,B00LWHUAF0,719.0,5.0,"purchased original kindle fire 2011 second generation kindle fire 2012. gave original one grandson still using apps reading. liked tell held well. one 3 year old 2 year old issue them. since upgraded 2 year thought would get new one larger memory faster cpu higher resolution display. many improvement beyond even features.i tell overall impressed new one. feel need purchase kindle fire every year purchased next one wanted definite upgrade step had. stayed 7 inch size like portability weight long term reading. alternate kindle paperwhite reading daytime night sometimes use kindle fire reading evening night plus browsing internet getting email. new kindle fire hd 2014 version fast easy use. setting internet downloading apps book breeze. like fact larger memory allows carry apps books. higher resolution screen helpful reading book text clearer easier eye older kindle fire own. screen better playing apps watching video movie worth upgrade older kindle fires.i like version front rear facing camera. use camera lot tablet many apple ipads, apple iphone android tablets.read","A great upgrade for me from an older Kindle Fire! 3,",JJCEO,1081,1
178,AV1T1NWRGLJLPUI8H8YZ,B00LWHUAF0,641.0,5.0,"fire hd 7 great entry-level fire tablet includes 7 1200x800 216 ppi pixel density display. pixel density wise, lowest fire tablet still decent enough going get nice picture display. mean ipad killer galaxy tab killer really purchase purpose. particular model really tailored reading kindle books, streaming video, browsing web, checking email, forth. bottom line, great deal 139. i'm going compare feature hd 7 feature fire tablet help make informed decision model go with:*** display ***the display 7 1200x800 resolution display 216 ppi pixel density great, horrible either. lowest pixel density fire tablet fire hd 6 coming 252 ppi, fire hdx coming 323 ppi, fire hdx 8.9 coming 339 ppi. human eye really can't distinguish individual pixel beyond density 300 ppi going getting noticeably pixelated display means. all, nice display.*** processor, gpu, on-board storage ***the fire hd 7 come respectable 1.5 ghz quad-core processor enough power run almost content ease, including smooth video playback. come mediocre 1 gb ram really sufficient opinion is. ipad galaxy tab killer means, give enough power use essential amazon service need.the hd 7 substantially le powerful snapdragon 2.2 ghz 2.read","Detailed review of the Fire HD 7 - A great entry-level tablet at a great price! 1,",Liberty Standard,1197,1
179,AV1T1NWRGLJLPUI8H8YZ,B00LWHUAF0,498.0,5.0,"oh effing word. better sound hp laptop. one standing cases, turn kitchen tv laying flap bottom shelf cabinet counter, placing something flap make sure stay there. gently close cabinet door, stay hanging watch something prepare dinner. standing case work, want kindle counter top near possibly splashing liquids, started hanging thing. say screw normality let thing different way...",fire in the kitchen,Frank Epstein,381,1
180,AV1T1NWRGLJLPUI8H8YZ,B00LWHUAF0,716.0,5.0,"i'm writing review benefit experienced kindle fire user vs. someone brand new kindle family. summary, 139 getting good deal tablet computer - especially compare 500 spend wi-fi version ipad. overall, consider price functionality think great tool / toy watch lot video play lot game device: video quality outstanding really tell difference last year's fire. first-time tablet buyer, price vs. value key consideration, looking affordable tablet kids, i'd recommend regular fire hd vs. expensive version. comparing last year's hd model version operating fine, i'd say save money continue get money's worth one.my review compare lot feature version fire last year's fire hd also feature first-time user.consistent experience setup previous model fire, setup took while: despite brand new product, fire attempted download install several operating software updates. need patient downloads installs.screen display / video playback:this version fire great screen display looking technical spec amazon made major change display / resolution, picture appears crisp: compared viewing experience watching episode lost ship. display fire one heck lot better term sharpness last year's model.read","Great Value for 139 2,",Michael Gallagher,1183,1
181,AV1T09FYVKC47QAVGF2R,B00NO8LX7E,739.0,2.0,"great controller fire tv, purchased 2 them, two problem let first talk good. controller work well game play fire tv. long range compared controller ive tried (solid 30 feet) us wifi direct instead bluetooth. feel decent (not rubbery) none buttons, d-pad, stick stuck given u problem. microphone work good better one fire tv remote.now problems. issue im putting con section going tell bit it. worst problem battery life! fact, huge problem im taking 2 star it. controller eats battery like nobody business. tried regular aa battery (both duracell energizer), expensive aa battery (both duracell energizer), rechargeable aa battery (ive tried energizer, apple, amazonbasics). controller doesnt drain battery completely, nope. would understand. instead, controller stop working 40 drain. kid not. every set battery put thing stopped working still 60 battery life left. tested set, after, using generic battery tester well ohm meter.the second problem may controller itself, may fire tv, affecting controller. controller randomly disconnects. often enough huge issue enough annoying. seen report others problem controller remote. im hoping issue fixed firmware update.read",Great controller with 2 major problems! Not recommended at this point in time...,Randall M.,1169,0
182,AV1T09FYVKC47QAVGF2R,B00NO8LX7E,48.0,3.0,"without / button, found controller come (the light come showing connected firetv) even use. assuming battery draining quick. now, put remote 2nd room using battery last normal lifespan. light never turn know remote room.",Save your batteries by keeping remote in another room when not in use,Dean S,220,0
